real_time_12h,elapsed_hms,blink_count
10:30:12 PM,0:00:54,7
10:26:25 PM,0:01:04,33
09:43:02 PM,0:01:06,22
10:33:23 PM,0:01:18,10
10:21:46 PM,0:01:19,26
10:33:32 PM,0:01:26,12
09:43:23 PM,0:01:27,38
09:23:29 PM,0:01:32,27
09:23:30 PM,0:01:34,28
09:43:30 PM,0:01:35,39
09:43:33 PM,0:01:37,40
11:18:32 PM,0:01:43,12
09:23:43 PM,0:01:46,32
11:18:39 PM,0:01:49,16
11:18:41 PM,0:01:52,17
09:43:49 PM,0:01:54,45
10:22:22 PM,0:01:55,36
10:22:25 PM,0:01:58,38
09:50:14 PM,0:02:01,21
09:50:15 PM,0:02:03,22
09:44:00 PM,0:02:05,49
10:22:34 PM,0:02:06,41
09:50:20 PM,0:02:07,23
09:24:06 PM,0:02:10,47
10:22:38 PM,0:02:11,42
09:44:07 PM,0:02:12,55
10:34:18 PM,0:02:13,15
09:24:11 PM,0:02:14,53
09:24:12 PM,0:02:16,54
09:24:16 PM,0:02:19,56
10:22:48 PM,0:02:20,43
09:44:16 PM,0:02:21,60
10:22:49 PM,0:02:22,44
09:44:21 PM,0:02:26,62
09:24:23 PM,0:02:27,62
09:44:26 PM,0:02:31,67
09:44:27 PM,0:02:32,68
09:24:31 PM,0:02:34,65
09:24:32 PM,0:02:35,66
09:24:32 PM,0:02:36,67
09:24:33 PM,0:02:37,68
10:26:13 PM,0:00:53,27
09:26:59 PM,0:00:29,8
11:18:29 PM,0:01:40,10
10:44:28 PM,0:00:46,23
11:17:47 PM,0:00:58,7
10:26:17 PM,0:00:57,30
10:44:49 PM,0:01:08,27
10:33:27 PM,0:01:21,11
09:43:17 PM,0:01:22,30
09:43:18 PM,0:01:23,32
10:24:38 PM,0:01:24,11
10:24:39 PM,0:01:25,12
09:43:36 PM,0:01:41,41
09:43:40 PM,0:01:45,43
10:22:24 PM,0:01:57,37
10:22:27 PM,0:02:00,40
09:50:22 PM,0:02:09,24
10:34:21 PM,0:02:15,16
09:44:12 PM,0:02:17,58
09:44:13 PM,0:02:18,59
09:44:23 PM,0:02:28,63
09:44:24 PM,0:02:29,65
09:44:25 PM,0:02:30,66
09:44:33 PM,0:02:38,69
09:44:36 PM,0:02:41,70
09:44:37 PM,0:02:42,72
09:44:39 PM,0:02:44,74
09:44:43 PM,0:02:48,75
09:44:45 PM,0:02:49,76
09:44:46 PM,0:02:51,77
09:44:50 PM,0:02:55,78
09:44:51 PM,0:02:56,79
09:45:07 PM,0:03:11,81
09:45:08 PM,0:03:13,82
09:45:10 PM,0:03:14,83
09:45:10 PM,0:03:15,84
09:45:11 PM,0:03:16,85
09:45:14 PM,0:03:18,87
09:45:15 PM,0:03:20,88
09:45:20 PM,0:03:25,89
09:45:24 PM,0:03:29,91
09:45:26 PM,0:03:31,92
09:45:30 PM,0:03:35,93
09:45:31 PM,0:03:36,95
09:45:34 PM,0:03:38,96
09:45:37 PM,0:03:42,97
09:45:40 PM,0:03:45,98
09:45:41 PM,0:03:46,99
09:45:45 PM,0:03:49,101
09:45:52 PM,0:03:57,102
09:46:00 PM,0:04:05,103
10:24:42 PM,0:01:29,13
09:49:49 PM,0:01:36,19
10:25:57 PM,0:00:37,17
10:27:42 PM,0:00:55,11
10:21:47 PM,0:01:20,27
10:21:58 PM,0:01:30,30
10:21:59 PM,0:01:31,31
10:22:06 PM,0:01:39,32
10:22:18 PM,0:01:50,34
10:22:20 PM,0:01:53,35
10:22:26 PM,0:01:59,39
10:22:50 PM,0:02:23,45
10:22:52 PM,0:02:24,46
11:18:32 PM,0:01:42,11
11:18:34 PM,0:01:44,14
11:18:22 PM,0:01:33,9
11:18:37 PM,0:01:47,15
